>HMT-748_16S000001 HMT-748 Campylobacter rectus
>HMT-818_16S000063 HMT-818 Limosilactobacillus reuteri
>HMT-882_16S000064 HMT-882 Limosilactobacillus panis
>HMT-608_16S000065 HMT-608 Limosilactobacillus fermentum
>HMT-051_16S000066 HMT-051 Limosilactobacillus vaginalis
>HMT-051_16S000067 HMT-051 Limosilactobacillus vaginalis
>HMT-051_16S000068 HMT-051 Limosilactobacillus vaginalis
>HMT-818_16S000069 HMT-818 Limosilactobacillus reuteri
>HMT-816_16S000070 HMT-816 Limosilactobacillus coleohominis
>HMT-709_16S000071 HMT-709 Limosilactobacillus oris
>HMT-051_16S000072 HMT-051 Limosilactobacillus vaginalis
>HMT-709_16S000073 HMT-709 Limosilactobacillus oris
>HMT-608_16S000074 HMT-608 Limosilactobacillus fermentum
>HMT-608_16S000075 HMT-608 Limosilactobacillus fermentum
>HMT-709_16S000076 HMT-709 Limosilactobacillus oris
>HMT-051_16S000077 HMT-051 Limosilactobacillus vaginalis
>HMT-051_16S000078 HMT-051 Limosilactobacillus vaginalis
>HMT-051_16S000079 HMT-051 Limosilactobacillus vaginalis
>HMT-608_16S000080 HMT-608 Limosilactobacillus fermentum
>HMT-608_16S000081 HMT-608 Limosilactobacillus fermentum
>HMT-608_16S000082 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000083 HMT-818 Limosilactobacillus reuteri
>HMT-051_16S000084 HMT-051 Limosilactobacillus vaginalis
>HMT-051_16S000085 HMT-051 Limosilactobacillus vaginalis
>HMT-051_16S000086 HMT-051 Limosilactobacillus vaginalis
>HMT-608_16S000087 HMT-608 Limosilactobacillus fermentum
>HMT-608_16S000088 HMT-608 Limosilactobacillus fermentum
>HMT-051_16S000089 HMT-051 Limosilactobacillus vaginalis
>HMT-051_16S000090 HMT-051 Limosilactobacillus vaginalis
>HMT-608_16S000091 HMT-608 Limosilactobacillus fermentum
>HMT-608_16S000092 HMT-608 Limosilactobacillus fermentum
>HMT-051_16S000093 HMT-051 Limosilactobacillus vaginalis
>HMT-051_16S000094 HMT-051 Limosilactobacillus vaginalis
>HMT-051_16S000095 HMT-051 Limosilactobacillus vaginalis
>HMT-176_16S000096 HMT-176 Actinomyces naeslundii
>HMT-051_16S000097 HMT-051 Limosilactobacillus vaginalis
>HMT-051_16S000098 HMT-051 Limosilactobacillus vaginalis
>HMT-709_16S000099 HMT-709 Limosilactobacillus oris
>HMT-608_16S000100 HMT-608 Limosilactobacillus fermentum
>HMT-608_16S000101 HMT-608 Limosilactobacillus fermentum
>HMT-608_16S000102 HMT-608 Limosilactobacillus fermentum
>HMT-881_16S000103 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000104 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000105 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000106 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000107 HMT-881 Lentilactobacillus buchneri
>HMT-884_16S000108 HMT-884 Lentilactobacillus rapi
>HMT-881_16S000109 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000110 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000111 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000112 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000113 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000114 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000115 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000116 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000117 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000118 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000119 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000120 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000121 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000122 HMT-881 Lentilactobacillus buchneri
>HMT-884_16S000123 HMT-884 Lentilactobacillus rapi
>HMT-424_16S000124 HMT-424 Lentilactobacillus kisonensis
>HMT-819_16S000125 HMT-819 Lactobacillus johnsonii
>HMT-881_16S000126 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000127 HMT-881 Lentilactobacillus buchneri
>HMT-881_16S000128 HMT-881 Lentilactobacillus buchneri
>HMT-615_16S000129 HMT-615 Lactobacillus gasseri
>HMT-615_16S000130 HMT-615 Lactobacillus gasseri
>HMT-618_16S000131 HMT-618 Actinomyces gerencseriae
>HMT-036_16S000132 HMT-036 Haemophilus sp. HMT-036
>HMT-819_16S000133 HMT-819 Lactobacillus johnsonii
>HMT-819_16S000134 HMT-819 Lactobacillus johnsonii
>HMT-615_16S000135 HMT-615 Lactobacillus gasseri
>HMT-418_16S000136 HMT-418 Lentilactobacillus parafarraginis
>HMT-819_16S000137 HMT-819 Lactobacillus johnsonii
>HMT-819_16S000138 HMT-819 Lactobacillus johnsonii
>HMT-881_16S000139 HMT-881 Lentilactobacillus buchneri
>HMT-819_16S000140 HMT-819 Lactobacillus johnsonii
>HMT-838_16S000141 HMT-838 Lactobacillus iners
>HMT-819_16S000142 HMT-819 Lactobacillus johnsonii
>HMT-819_16S000143 HMT-819 Lactobacillus johnsonii
>HMT-488_16S000144 HMT-488 Nanosynbacter fur
>HMT-838_16S000145 HMT-838 Lactobacillus iners
>HMT-736_16S000146 HMT-736 Dialister pneumosintes
>HMT-838_16S000147 HMT-838 Lactobacillus iners
>HMT-736_16S000148 HMT-736 Dialister pneumosintes
>HMT-838_16S000149 HMT-838 Lactobacillus iners
>HMT-488_16S000150 HMT-488 Nanosynbacter fur
>HMT-488_16S000151 HMT-488 Nanosynbacter fur
>HMT-838_16S000152 HMT-838 Lactobacillus iners
>HMT-838_16S000153 HMT-838 Lactobacillus iners
>HMT-819_16S000154 HMT-819 Lactobacillus johnsonii
>HMT-838_16S000155 HMT-838 Lactobacillus iners
>HMT-838_16S000156 HMT-838 Lactobacillus iners
>HMT-838_16S000157 HMT-838 Lactobacillus iners
>HMT-819_16S000158 HMT-819 Lactobacillus johnsonii
>HMT-488_16S000159 HMT-488 Nanosynbacter fur
>HMT-488_16S000160 HMT-488 Nanosynbacter fur
>HMT-736_16S000161 HMT-736 Dialister pneumosintes
>HMT-615_16S000162 HMT-615 Lactobacillus gasseri
>HMT-736_16S000163 HMT-736 Dialister pneumosintes
>HMT-488_16S000164 HMT-488 Nanosynbacter fur
>HMT-716_16S000165 HMT-716 Lacticaseibacillus paracasei
>HMT-568_16S000166 HMT-568 Lacticaseibacillus casei
>HMT-716_16S000167 HMT-716 Lacticaseibacillus paracasei
>HMT-568_16S000168 HMT-568 Lacticaseibacillus casei
>HMT-716_16S000169 HMT-716 Lacticaseibacillus paracasei
>HMT-568_16S000170 HMT-568 Lacticaseibacillus casei
>HMT-488_16S000171 HMT-488 Nanosynbacter fur
>HMT-568_16S000172 HMT-568 Lacticaseibacillus casei
>HMT-716_16S000173 HMT-716 Lacticaseibacillus paracasei
>HMT-838_16S000174 HMT-838 Lactobacillus iners
>HMT-353_16S000175 HMT-353 Nanosynbacter sp. HMT-353
>HMT-488_16S000176 HMT-488 Nanosynbacter fur
>HMT-568_16S000177 HMT-568 Lacticaseibacillus casei
>HMT-716_16S000178 HMT-716 Lacticaseibacillus paracasei
>HMT-568_16S000179 HMT-568 Lacticaseibacillus casei
>HMT-716_16S000180 HMT-716 Lacticaseibacillus paracasei
>HMT-488_16S000181 HMT-488 Nanosynbacter fur
>HMT-716_16S000182 HMT-716 Lacticaseibacillus paracasei
>HMT-488_16S000183 HMT-488 Nanosynbacter fur
>HMT-749_16S000184 HMT-749 Lacticaseibacillus rhamnosus
>HMT-749_16S000185 HMT-749 Lacticaseibacillus rhamnosus
>HMT-568_16S000186 HMT-568 Lacticaseibacillus casei
>HMT-118_16S000187 HMT-118 Dialister invisus
>HMT-118_16S000188 HMT-118 Dialister invisus
>HMT-568_16S000189 HMT-568 Lacticaseibacillus casei
>HMT-568_16S000190 HMT-568 Lacticaseibacillus casei
>HMT-123_16S000191 HMT-123 Anaeroglobus massiliensis
>HMT-568_16S000192 HMT-568 Lacticaseibacillus casei
>HMT-118_16S000193 HMT-118 Dialister invisus
>HMT-568_16S000194 HMT-568 Lacticaseibacillus casei
>HMT-568_16S000195 HMT-568 Lacticaseibacillus casei
>HMT-118_16S000196 HMT-118 Dialister invisus
>HMT-568_16S000197 HMT-568 Lacticaseibacillus casei
>HMT-568_16S000198 HMT-568 Lacticaseibacillus casei
>HMT-568_16S000199 HMT-568 Lacticaseibacillus casei
>HMT-716_16S000200 HMT-716 Lacticaseibacillus paracasei
>HMT-716_16S000201 HMT-716 Lacticaseibacillus paracasei
>HMT-749_16S000202 HMT-749 Lacticaseibacillus rhamnosus
>HMT-568_16S000203 HMT-568 Lacticaseibacillus casei
>HMT-716_16S000204 HMT-716 Lacticaseibacillus paracasei
>HMT-841_16S000205 HMT-841 Megasphaera lornae
>HMT-749_16S000206 HMT-749 Lacticaseibacillus rhamnosus
>HMT-118_16S000207 HMT-118 Dialister invisus
>HMT-568_16S000208 HMT-568 Lacticaseibacillus casei
>HMT-716_16S000209 HMT-716 Lacticaseibacillus paracasei
>HMT-749_16S000210 HMT-749 Lacticaseibacillus rhamnosus
>HMT-749_16S000211 HMT-749 Lacticaseibacillus rhamnosus
>HMT-568_16S000212 HMT-568 Lacticaseibacillus casei
>HMT-819_16S000213 HMT-819 Lactobacillus johnsonii
>HMT-716_16S000214 HMT-716 Lacticaseibacillus paracasei
>HMT-749_16S000215 HMT-749 Lacticaseibacillus rhamnosus
>HMT-568_16S000216 HMT-568 Lacticaseibacillus casei
>HMT-716_16S000217 HMT-716 Lacticaseibacillus paracasei
>HMT-716_16S000218 HMT-716 Lacticaseibacillus paracasei
>HMT-568_16S000219 HMT-568 Lacticaseibacillus casei
>HMT-749_16S000221 HMT-749 Lacticaseibacillus rhamnosus
>HMT-716_16S000222 HMT-716 Lacticaseibacillus paracasei
>HMT-568_16S000223 HMT-568 Lacticaseibacillus casei
>HMT-883_16S000224 HMT-883 Lactiplantibacillus pentosus
>HMT-883_16S000225 HMT-883 Lactiplantibacillus pentosus
>HMT-883_16S000226 HMT-883 Lactiplantibacillus pentosus
>HMT-883_16S000227 HMT-883 Lactiplantibacillus pentosus
>HMT-749_16S000228 HMT-749 Lacticaseibacillus rhamnosus
>HMT-118_16S000229 HMT-118 Dialister invisus
>HMT-749_16S000230 HMT-749 Lacticaseibacillus rhamnosus
>HMT-841_16S000231 HMT-841 Megasphaera lornae
>HMT-841_16S000232 HMT-841 Megasphaera lornae
>HMT-883_16S000234 HMT-883 Lactiplantibacillus pentosus
>HMT-861_16S000235 HMT-861 Lactiplantibacillus plantarum
>HMT-861_16S000236 HMT-861 Lactiplantibacillus plantarum
>HMT-883_16S000237 HMT-883 Lactiplantibacillus pentosus
>HMT-861_16S000238 HMT-861 Lactiplantibacillus plantarum
>HMT-883_16S000239 HMT-883 Lactiplantibacillus pentosus
>HMT-883_16S000240 HMT-883 Lactiplantibacillus pentosus
>HMT-883_16S000241 HMT-883 Lactiplantibacillus pentosus
>HMT-861_16S000242 HMT-861 Lactiplantibacillus plantarum
>HMT-883_16S000243 HMT-883 Lactiplantibacillus pentosus
>HMT-861_16S000244 HMT-861 Lactiplantibacillus plantarum
>HMT-883_16S000245 HMT-883 Lactiplantibacillus pentosus
>HMT-861_16S000247 HMT-861 Lactiplantibacillus plantarum
>HMT-861_16S000248 HMT-861 Lactiplantibacillus plantarum
>HMT-883_16S000249 HMT-883 Lactiplantibacillus pentosus
>HMT-861_16S000250 HMT-861 Lactiplantibacillus plantarum
>HMT-158_16S000251 HMT-158 Veillonella rogosae
>HMT-161_16S000252 HMT-161 Veillonella parvula
>HMT-161_16S000253 HMT-161 Veillonella parvula
>HMT-883_16S000254 HMT-883 Lactiplantibacillus pentosus
>HMT-118_16S000255 HMT-118 Dialister invisus
>HMT-158_16S000256 HMT-158 Veillonella rogosae
>HMT-161_16S000257 HMT-161 Veillonella parvula
>HMT-558_16S000258 HMT-558 Levilactobacillus brevis
>HMT-558_16S000259 HMT-558 Levilactobacillus brevis
>HMT-158_16S000260 HMT-158 Veillonella rogosae
>HMT-158_16S000261 HMT-158 Veillonella rogosae
>HMT-558_16S000262 HMT-558 Levilactobacillus brevis
>HMT-161_16S000263 HMT-161 Veillonella parvula
>HMT-558_16S000264 HMT-558 Levilactobacillus brevis
>HMT-558_16S000265 HMT-558 Levilactobacillus brevis
>HMT-558_16S000266 HMT-558 Levilactobacillus brevis
>HMT-558_16S000267 HMT-558 Levilactobacillus brevis
>HMT-558_16S000268 HMT-558 Levilactobacillus brevis
>HMT-158_16S000269 HMT-158 Veillonella rogosae
>HMT-558_16S000270 HMT-558 Levilactobacillus brevis
>HMT-161_16S000271 HMT-161 Veillonella parvula
>HMT-558_16S000272 HMT-558 Levilactobacillus brevis
>HMT-881_16S000273 HMT-881 Lentilactobacillus buchneri
>HMT-158_16S000274 HMT-158 Veillonella rogosae
>HMT-558_16S000275 HMT-558 Levilactobacillus brevis
>HMT-161_16S000276 HMT-161 Veillonella parvula
>HMT-118_16S000277 HMT-118 Dialister invisus
>HMT-161_16S000278 HMT-161 Veillonella parvula
>HMT-158_16S000279 HMT-158 Veillonella rogosae
>HMT-558_16S000280 HMT-558 Levilactobacillus brevis
>HMT-558_16S000281 HMT-558 Levilactobacillus brevis
>HMT-161_16S000282 HMT-161 Veillonella parvula
>HMT-158_16S000283 HMT-158 Veillonella rogosae
>HMT-558_16S000284 HMT-558 Levilactobacillus brevis
>HMT-558_16S000285 HMT-558 Levilactobacillus brevis
>HMT-558_16S000286 HMT-558 Levilactobacillus brevis
>HMT-558_16S000287 HMT-558 Levilactobacillus brevis
>HMT-558_16S000288 HMT-558 Levilactobacillus brevis
>HMT-158_16S000289 HMT-158 Veillonella rogosae
>HMT-158_16S000290 HMT-158 Veillonella rogosae
>HMT-161_16S000291 HMT-161 Veillonella parvula
>HMT-161_16S000292 HMT-161 Veillonella parvula
>HMT-861_16S000293 HMT-861 Lactiplantibacillus plantarum
>HMT-817_16S000294 HMT-817 Lactobacillus crispatus
>HMT-524_16S000295 HMT-524 Veillonella atypica
>HMT-156_16S000296 HMT-156 Veillonella nakazawae
>HMT-524_16S000297 HMT-524 Veillonella atypica
>HMT-156_16S000298 HMT-156 Veillonella nakazawae
>HMT-131_16S000299 HMT-131 Mitsuokella sp. HMT-131
>HMT-524_16S000300 HMT-524 Veillonella atypica
>HMT-817_16S000301 HMT-817 Lactobacillus crispatus
>HMT-161_16S000302 HMT-161 Veillonella parvula
>HMT-817_16S000303 HMT-817 Lactobacillus crispatus
>HMT-817_16S000304 HMT-817 Lactobacillus crispatus
>HMT-161_16S000305 HMT-161 Veillonella parvula
>HMT-161_16S000306 HMT-161 Veillonella parvula
>HMT-403_16S000307 HMT-403 Actinomyces sp. HMT-403
>HMT-461_16S000308 HMT-461 Lactobacillus ultunensis
>HMT-887_16S000309 HMT-887 Veillonella denticariosi
>HMT-161_16S000310 HMT-161 Veillonella parvula
>HMT-156_16S000311 HMT-156 Veillonella nakazawae
>HMT-817_16S000312 HMT-817 Lactobacillus crispatus
>HMT-421_16S000313 HMT-421 Veillonella tobetsuensis
>HMT-160_16S000314 HMT-160 Veillonella dispar
>HMT-161_16S000315 HMT-161 Veillonella parvula
>HMT-156_16S000316 HMT-156 Veillonella nakazawae
>HMT-421_16S000317 HMT-421 Veillonella tobetsuensis
>HMT-161_16S000318 HMT-161 Veillonella parvula
>HMT-161_16S000319 HMT-161 Veillonella parvula
>HMT-156_16S000321 HMT-156 Veillonella nakazawae
>HMT-161_16S000322 HMT-161 Veillonella parvula
>HMT-861_16S000323 HMT-861 Lactiplantibacillus plantarum
>HMT-160_16S000324 HMT-160 Veillonella dispar
>HMT-524_16S000325 HMT-524 Veillonella atypica
>HMT-156_16S000326 HMT-156 Veillonella nakazawae
>HMT-817_16S000327 HMT-817 Lactobacillus crispatus
>HMT-524_16S000328 HMT-524 Veillonella atypica
>HMT-817_16S000329 HMT-817 Lactobacillus crispatus
>HMT-524_16S000330 HMT-524 Veillonella atypica
>HMT-524_16S000331 HMT-524 Veillonella atypica
>HMT-160_16S000332 HMT-160 Veillonella dispar
>HMT-160_16S000333 HMT-160 Veillonella dispar
>HMT-161_16S000334 HMT-161 Veillonella parvula
>HMT-160_16S000335 HMT-160 Veillonella dispar
>HMT-161_16S000336 HMT-161 Veillonella parvula
>HMT-161_16S000337 HMT-161 Veillonella parvula
>HMT-161_16S000338 HMT-161 Veillonella parvula
>HMT-161_16S000339 HMT-161 Veillonella parvula
>HMT-887_16S000340 HMT-887 Veillonella denticariosi
>HMT-817_16S000341 HMT-817 Lactobacillus crispatus
>HMT-161_16S000342 HMT-161 Veillonella parvula
>HMT-156_16S000343 HMT-156 Veillonella nakazawae
>HMT-817_16S000344 HMT-817 Lactobacillus crispatus
>HMT-156_16S000345 HMT-156 Veillonella nakazawae
>HMT-604_16S000346 HMT-604 Enterococcus faecalis
>HMT-558_16S000347 HMT-558 Levilactobacillus brevis
>HMT-161_16S000348 HMT-161 Veillonella parvula
>HMT-524_16S000349 HMT-524 Veillonella atypica
>HMT-156_16S000350 HMT-156 Veillonella nakazawae
>HMT-161_16S000351 HMT-161 Veillonella parvula
>HMT-156_16S000352 HMT-156 Veillonella nakazawae
>HMT-524_16S000353 HMT-524 Veillonella atypica
>HMT-524_16S000354 HMT-524 Veillonella atypica
>HMT-817_16S000355 HMT-817 Lactobacillus crispatus
>HMT-817_16S000356 HMT-817 Lactobacillus crispatus
>HMT-161_16S000357 HMT-161 Veillonella parvula
>HMT-160_16S000358 HMT-160 Veillonella dispar
>HMT-156_16S000359 HMT-156 Veillonella nakazawae
>HMT-524_16S000360 HMT-524 Veillonella atypica
>HMT-524_16S000361 HMT-524 Veillonella atypica
>HMT-779_16S000362 HMT-779 Veillonella sp. HMT-779
>HMT-839_16S000363 HMT-839 Lactobacillus jensenii
>HMT-529_16S000364 HMT-529 Lactobacillus acidophilus
>HMT-684_16S000366 HMT-684 Mitsuokella multacida
>HMT-779_16S000367 HMT-779 Veillonella sp. HMT-779
>HMT-839_16S000368 HMT-839 Lactobacillus jensenii
>HMT-839_16S000369 HMT-839 Lactobacillus jensenii
>HMT-604_16S000370 HMT-604 Enterococcus faecalis
>HMT-779_16S000371 HMT-779 Veillonella sp. HMT-779
>HMT-161_16S000372 HMT-161 Veillonella parvula
>HMT-684_16S000373 HMT-684 Mitsuokella multacida
>HMT-839_16S000374 HMT-839 Lactobacillus jensenii
>HMT-839_16S000375 HMT-839 Lactobacillus jensenii
>HMT-839_16S000376 HMT-839 Lactobacillus jensenii
>HMT-176_16S000377 HMT-176 Actinomyces naeslundii
>HMT-684_16S000378 HMT-684 Mitsuokella multacida
>HMT-839_16S000379 HMT-839 Lactobacillus jensenii
>HMT-171_16S000380 HMT-171 Actinomyces oris
>HMT-779_16S000381 HMT-779 Veillonella sp. HMT-779
>HMT-529_16S000382 HMT-529 Lactobacillus acidophilus
>HMT-421_16S000383 HMT-421 Veillonella tobetsuensis
>HMT-780_16S000384 HMT-780 Veillonella sp. HMT-780
>HMT-839_16S000385 HMT-839 Lactobacillus jensenii
>HMT-780_16S000386 HMT-780 Veillonella sp. HMT-780
>HMT-779_16S000387 HMT-779 Veillonella sp. HMT-779
>HMT-880_16S000388 HMT-880 Enterococcus durans
>HMT-756_16S000389 HMT-756 Ligilactobacillus salivarius
>HMT-779_16S000390 HMT-779 Veillonella sp. HMT-779
>HMT-756_16S000391 HMT-756 Ligilactobacillus salivarius
>HMT-780_16S000392 HMT-780 Veillonella sp. HMT-780
>HMT-604_16S000393 HMT-604 Enterococcus faecalis
>HMT-756_16S000394 HMT-756 Ligilactobacillus salivarius
>HMT-604_16S000395 HMT-604 Enterococcus faecalis
>HMT-756_16S000396 HMT-756 Ligilactobacillus salivarius
>HMT-604_16S000397 HMT-604 Enterococcus faecalis
>HMT-880_16S000398 HMT-880 Enterococcus durans
>HMT-779_16S000399 HMT-779 Veillonella sp. HMT-779
>HMT-756_16S000400 HMT-756 Ligilactobacillus salivarius
>HMT-780_16S000401 HMT-780 Veillonella sp. HMT-780
>HMT-485_16S000402 HMT-485 Agrobacterium tumefaciens
>HMT-158_16S000403 HMT-158 Veillonella rogosae
>HMT-849_16S000404 HMT-849 Actinomyces johnsonii
>HMT-176_16S000405 HMT-176 Actinomyces naeslundii
>HMT-780_16S000406 HMT-780 Veillonella sp. HMT-780
>HMT-604_16S000407 HMT-604 Enterococcus faecalis
>HMT-176_16S000408 HMT-176 Actinomyces naeslundii
>HMT-780_16S000409 HMT-780 Veillonella sp. HMT-780
>HMT-779_16S000410 HMT-779 Veillonella sp. HMT-779
>HMT-756_16S000411 HMT-756 Ligilactobacillus salivarius
>HMT-779_16S000412 HMT-779 Veillonella sp. HMT-779
>HMT-780_16S000413 HMT-780 Veillonella sp. HMT-780
>HMT-604_16S000414 HMT-604 Enterococcus faecalis
>HMT-176_16S000415 HMT-176 Actinomyces naeslundii
>HMT-756_16S000416 HMT-756 Ligilactobacillus salivarius
>HMT-756_16S000417 HMT-756 Ligilactobacillus salivarius
>HMT-756_16S000418 HMT-756 Ligilactobacillus salivarius
>HMT-801_16S000419 HMT-801 Enterococcus casseliflavus
>HMT-880_16S000420 HMT-880 Enterococcus durans
>HMT-756_16S000421 HMT-756 Ligilactobacillus salivarius
>HMT-801_16S000422 HMT-801 Enterococcus casseliflavus
>HMT-801_16S000423 HMT-801 Enterococcus casseliflavus
>HMT-176_16S000424 HMT-176 Actinomyces naeslundii
>HMT-756_16S000425 HMT-756 Ligilactobacillus salivarius
>HMT-756_16S000426 HMT-756 Ligilactobacillus salivarius
>HMT-801_16S000427 HMT-801 Enterococcus casseliflavus
>HMT-756_16S000428 HMT-756 Ligilactobacillus salivarius
>HMT-880_16S000429 HMT-880 Enterococcus durans
>HMT-756_16S000430 HMT-756 Ligilactobacillus salivarius
>HMT-756_16S000431 HMT-756 Ligilactobacillus salivarius
>HMT-756_16S000432 HMT-756 Ligilactobacillus salivarius
>HMT-756_16S000433 HMT-756 Ligilactobacillus salivarius
>HMT-756_16S000434 HMT-756 Ligilactobacillus salivarius
>HMT-880_16S000435 HMT-880 Enterococcus durans
>HMT-880_16S000436 HMT-880 Enterococcus durans
>HMT-880_16S000437 HMT-880 Enterococcus durans
>HMT-176_16S000438 HMT-176 Actinomyces naeslundii
>HMT-756_16S000439 HMT-756 Ligilactobacillus salivarius
>HMT-801_16S000440 HMT-801 Enterococcus casseliflavus
>HMT-756_16S000441 HMT-756 Ligilactobacillus salivarius
>HMT-880_16S000442 HMT-880 Enterococcus durans
>HMT-880_16S000443 HMT-880 Enterococcus durans
>HMT-801_16S000444 HMT-801 Enterococcus casseliflavus
>HMT-880_16S000445 HMT-880 Enterococcus durans
>HMT-756_16S000446 HMT-756 Ligilactobacillus salivarius
>HMT-801_16S000447 HMT-801 Enterococcus casseliflavus
>HMT-176_16S000448 HMT-176 Actinomyces naeslundii
>HMT-801_16S000449 HMT-801 Enterococcus casseliflavus
>HMT-880_16S000450 HMT-880 Enterococcus durans
>HMT-880_16S000451 HMT-880 Enterococcus durans
>HMT-880_16S000452 HMT-880 Enterococcus durans
>HMT-880_16S000453 HMT-880 Enterococcus durans
>HMT-880_16S000454 HMT-880 Enterococcus durans
>HMT-756_16S000455 HMT-756 Ligilactobacillus salivarius
>HMT-801_16S000456 HMT-801 Enterococcus casseliflavus
>HMT-756_16S000457 HMT-756 Ligilactobacillus salivarius
>HMT-756_16S000458 HMT-756 Ligilactobacillus salivarius
>HMT-880_16S000459 HMT-880 Enterococcus durans
>HMT-756_16S000460 HMT-756 Ligilactobacillus salivarius
>HMT-756_16S000461 HMT-756 Ligilactobacillus salivarius
>HMT-176_16S000462 HMT-176 Actinomyces naeslundii
